checkinCount1,checkinCount2,checkinCount3,checkinCount4,height0,weight0,weight1,weight2,weight3,weight4,waistline0,waistline1,waistline2,waistline3,waistline4,deltaWeight1,deltaWeight2,deltaWeight3,deltaWeight4,deltaWeightAll,deltaWaist1,deltaWaist2,deltaWaist3,deltaWaist4,deltaWaistAll
17.0,11.0,16.0,8.0,163.0,53.4,53.2,53.3,52.4,52.5,73.3,73.3,73.0,72.0,71.0,0.2,-0.1,0.9,-0.1,0.9,0.0,0.3,1.0,1.0,2.3
19.0,22.0,10.0,0.0,157.0,67.4,66.4,65.9,63.4,62.5,80.0,79.0,78.0,79.0,76.0,1.0,0.5,2.5,0.9,4.9,1.0,1.0,-1.0,3.0,4.0
28.0,28.0,28.0,28.0,166.0,69.5,68.3,67.5,67.1,66.1,89.0,83.0,83.0,83.0,81.0,1.2,0.8,0.4,1.0,3.4,6.0,0.0,0.0,2.0,8.0
27.0,28.0,19.0,17.0,163.0,52.4,52.3,51.4,51.4,50.8,80.0,78.0,77.0,78.0,76.0,0.1,0.9,0.0,0.6,1.6,2.0,1.0,-1.0,2.0,4.0
21.0,23.0,25.0,26.0,164.0,63.0,60.5,61.0,60.0,59.7,76.0,75.0,72.0,68.5,67.0,2.5,-0.5,1.0,0.3,3.3,1.0,3.0,3.5,1.5,9.0
23.0,27.0,23.0,28.0,162.0,60.8,59.0,57.8,57.5,56.8,78.0,76.0,74.5,75.0,72.0,1.8,1.2,0.3,0.7,4.0,2.0,1.5,-0.5,3.0,6.0
24.0,26.0,27.0,20.0,170.0,64.0,62.0,61.8,61.0,60.2,70.0,67.0,66.0,65.0,64.0,2.0,0.2,0.8,0.8,3.8,3.0,1.0,1.0,1.0,6.0
24.0,28.0,28.0,24.0,158.0,50.4,50.0,49.0,48.4,48.2,71.0,67.0,69.0,67.0,68.0,0.4,1.0,0.6,0.2,2.2,4.0,-2.0,2.0,-1.0,3.0
19.0,20.0,24.0,16.0,165.0,85.0,82.2,80.7,79.7,78.0,98.0,96.0,95.0,94.0,94.0,2.8,1.5,1.0,1.7,7.0,2.0,1.0,1.0,0.0,4.0
25.0,26.0,28.0,22.0,166.0,51.0,50.6,50.0,50.1,49.1,67.0,66.0,65.0,64.0,64.0,0.4,0.6,-0.1,1.0,1.9,1.0,1.0,1.0,0.0,3.0
28.0,27.0,27.0,20.0,171.0,74.5,72.5,71.0,70.3,70.0,83.0,80.0,80.0,80.0,79.0,2.0,1.5,0.7,0.3,4.5,3.0,0.0,0.0,1.0,4.0
27.0,28.0,28.0,28.0,167.0,53.8,53.0,52.2,51.1,50.2,73.5,75.3,70.3,69.0,67.8,0.8,0.8,1.1,0.9,3.6,-1.8,5.0,1.3,1.2,5.7
15.0,18.0,17.0,11.0,160.0,81.0,78.3,76.3,75.9,75.3,97.0,94.0,91.0,90.0,87.5,2.7,2.0,0.4,0.6,5.7,3.0,3.0,1.0,2.5,9.5
26.0,26.0,27.0,20.0,168.0,56.2,55.4,54.0,54.0,53.0,68.0,67.0,66.0,65.0,65.0,0.8,1.4,0.0,1.0,3.2,1.0,1.0,1.0,0.0,3.0
27.0,28.0,25.0,6.0,161.0,57.0,56.2,55.7,55.2,55.7,74.0,71.0,69.0,70.0,70.0,0.8,0.5,0.5,-0.5,1.3,3.0,2.0,-1.0,0.0,4.0
10.0,7.0,3.0,2.0,156.0,45.7,45.5,44.0,44.0,43.5,64.0,58.0,64.0,62.0,60.0,0.2,1.5,0.0,0.5,2.2,6.0,-6.0,2.0,2.0,4.0
23.0,26.0,11.0,0.0,165.0,59.5,58.6,58.3,58.5,59.0,80.0,77.0,77.0,77.0,79.0,0.9,0.3,-0.2,-0.5,0.5,3.0,0.0,0.0,-2.0,1.0
23.0,28.0,19.0,8.0,170.0,65.3,64.3,63.7,63.4,62.3,78.0,75.0,74.0,73.0,70.5,1.0,0.6,0.3,1.1,3.0,3.0,1.0,1.0,2.5,7.5
23.0,24.0,19.0,12.0,167.0,84.7,82.4,81.3,80.5,78.5,89.0,88.0,87.0,86.0,84.0,2.3,1.1,0.8,2.0,6.2,1.0,1.0,1.0,2.0,5.0
28.0,27.0,26.0,23.0,167.0,68.0,67.3,67.0,67.0,67.5,84.0,84.0,83.0,89.0,83.0,0.7,0.3,0.0,-0.5,0.5,0.0,1.0,-6.0,6.0,1.0
21.0,15.0,6.0,0.0,156.0,52.2,51.3,51.0,50.7,50.0,71.0,68.0,68.0,67.5,67.5,0.9,0.3,0.3,0.7,2.2,3.0,0.0,0.5,0.0,3.5
22.0,22.0,22.0,18.0,170.0,57.5,56.2,54.9,54.1,53.9,70.0,69.0,66.0,65.0,64.5,1.3,1.3,0.8,0.2,3.6,1.0,3.0,1.0,0.5,5.5
23.0,26.0,22.0,26.0,163.0,58.7,58.0,58.0,57.1,56.9,76.0,75.0,74.0,74.0,73.0,0.7,0.0,0.9,0.2,1.8,1.0,1.0,0.0,1.0,3.0
22.0,15.0,12.0,8.0,161.0,58.0,57.0,57.0,56.9,57.0,71.0,71.0,70.5,71.0,70.0,1.0,0.0,0.1,-0.1,1.0,0.0,0.5,-0.5,1.0,1.0
0.0,0.0,18.0,11.0,170.0,69.5,67.7,66.9,66.6,65.8,89.0,88.5,88.0,87.0,87.0,1.8,0.8,0.3,0.8,3.7,0.5,0.5,1.0,0.0,2.0
24.0,25.0,26.0,19.0,171.0,58.0,57.5,57.2,56.8,56.8,74.0,72.0,71.0,70.0,69.0,0.5,0.3,0.4,0.0,1.2,2.0,1.0,1.0,1.0,5.0
15.0,17.0,17.0,13.0,161.0,59.0,58.2,58.5,58.0,56.5,74.0,73.0,74.0,73.0,73.0,0.8,-0.3,0.5,1.5,2.5,1.0,-1.0,1.0,0.0,1.0
24.0,27.0,23.0,27.0,160.0,52.2,51.6,51.6,50.9,50.4,69.0,68.0,68.0,67.0,67.0,0.6,0.0,0.7,0.5,1.8,1.0,0.0,1.0,0.0,2.0
23.0,23.0,22.0,2.0,171.0,61.8,60.8,60.0,59.4,59.4,70.0,69.0,68.0,67.5,68.0,1.0,0.8,0.6,0.0,2.4,1.0,1.0,0.5,-0.5,2.0
28.0,23.0,28.0,22.0,189.0,95.0,90.9,90.2,89.7,87.6,98.0,96.0,97.0,95.0,90.0,4.1,0.7,0.5,2.1,7.4,2.0,-1.0,2.0,5.0,8.0
19.0,27.0,27.0,28.0,155.0,55.4,53.5,52.0,52.4,52.0,87.5,80.0,81.0,80.0,78.0,1.9,1.5,-0.4,0.4,3.4,7.5,-1.0,1.0,2.0,9.5
18.0,20.0,11.0,11.0,161.0,55.1,53.8,53.7,53.1,52.0,71.0,69.0,68.0,67.0,67.0,1.3,0.1,0.6,1.1,3.1,2.0,1.0,1.0,0.0,4.0
20.0,21.0,21.0,25.0,160.0,57.0,55.5,54.6,54.5,54.0,85.0,81.0,79.5,78.0,75.5,1.5,0.9,0.1,0.5,3.0,4.0,1.5,1.5,2.5,9.5
19.0,26.0,17.0,12.0,165.0,57.2,54.5,53.8,53.1,53.2,70.0,66.0,65.0,64.0,64.0,2.7,0.7,0.7,-0.1,4.0,4.0,1.0,1.0,0.0,6.0
23.0,27.0,24.0,25.0,172.0,73.0,71.5,70.8,70.0,69.0,95.0,95.0,95.0,94.0,94.0,1.5,0.7,0.8,1.0,4.0,0.0,0.0,1.0,0.0,1.0
23.0,28.0,26.0,22.0,173.0,78.6,77.5,76.4,76.2,75.2,89.0,85.0,85.0,83.0,82.0,1.1,1.1,0.2,1.0,3.4,4.0,0.0,2.0,1.0,7.0
23.0,24.0,19.0,15.0,168.0,71.5,69.5,68.0,67.5,66.0,86.0,85.0,84.0,83.0,81.0,2.0,1.5,0.5,1.5,5.5,1.0,1.0,1.0,2.0,5.0
27.0,20.0,21.0,6.0,163.0,67.1,66.0,65.8,66.0,65.8,86.0,83.5,83.0,83.0,83.0,1.1,0.2,-0.2,0.2,1.3,2.5,0.5,0.0,0.0,3.0
24.0,20.0,24.0,16.0,167.0,75.5,75.0,73.8,73.8,73.7,85.0,81.0,79.5,80.0,81.0,0.5,1.2,0.0,0.1,1.8,4.0,1.5,-0.5,-1.0,4.0
0.0,0.0,21.0,15.0,170.0,66.5,64.7,63.9,63.6,62.4,77.6,73.0,72.0,71.0,73.5,1.8,0.8,0.3,1.2,4.1,4.6,1.0,1.0,-2.5,4.1
18.0,18.0,16.0,16.0,170.0,68.5,66.8,66.5,65.6,65.6,89.0,88.0,85.0,81.0,80.0,1.7,0.3,0.9,0.0,2.9,1.0,3.0,4.0,1.0,9.0
25.0,28.0,28.0,27.0,157.0,72.7,72.2,72.8,72.4,71.9,93.0,90.0,90.0,88.0,88.0,0.5,-0.6,0.4,0.5,0.8,3.0,0.0,2.0,0.0,5.0
26.0,26.0,23.0,20.0,158.0,57.7,55.0,55.3,55.3,54.4,77.0,73.0,73.0,73.0,72.0,2.7,-0.3,0.0,0.9,3.3,4.0,0.0,0.0,1.0,5.0
