checkinCount1,checkinCount2,checkinCount3,checkinCount4,height0,weight0,weight1,weight2,weight3,weight4,waistline0,waistline1,waistline2,waistline3,waistline4,deltaWeight1,deltaWeight2,deltaWeight3,deltaWeight4,deltaWeightAll,deltaWaist1,deltaWaist2,deltaWaist3,deltaWaist4,deltaWaistAll
16.0,26.0,15.0,16.0,168.0,65.8,64.6,64.1,63.5,62.5,75.0,75.0,73.5,73.5,72.0,1.2,0.5,0.6,1.0,3.3,0.0,1.5,0.0,1.5,3.0
25.0,28.0,28.0,28.0,151.0,65.7,64.6,63.1,61.8,60.4,87.0,85.5,84.0,82.0,80.0,1.1,1.5,1.3,1.4,5.3,1.5,1.5,2.0,2.0,7.0
25.0,28.0,28.0,23.0,168.0,68.5,68.4,67.3,67.3,67.5,78.0,78.0,76.5,77.0,75.0,0.1,1.1,0.0,-0.2,1.0,0.0,1.5,-0.5,2.0,3.0
23.0,25.0,27.0,28.0,167.0,51.1,50.5,50.6,49.5,48.8,67.5,66.0,66.0,64.5,64.5,0.6,-0.1,1.1,0.7,2.3,1.5,0.0,1.5,0.0,3.0
23.0,27.0,27.0,28.0,183.0,79.4,77.7,76.1,74.4,73.7,80.0,79.0,78.0,77.0,76.0,1.7,1.6,1.7,0.7,5.7,1.0,1.0,1.0,1.0,4.0
27.0,20.0,27.0,26.0,176.0,95.7,94.4,93.8,92.5,91.8,85.0,84.0,83.7,83.5,83.0,1.3,0.6,1.3,0.7,3.9,1.0,0.3,0.2,0.5,2.0
24.0,24.0,19.0,21.0,167.0,58.9,57.7,56.9,56.2,56.7,75.0,72.0,70.0,68.0,69.0,1.2,0.8,0.7,-0.5,2.2,3.0,2.0,2.0,-1.0,6.0
23.0,25.0,28.0,28.0,162.0,48.6,48.2,47.7,47.3,46.9,66.5,65.5,63.0,62.0,61.5,0.4,0.5,0.4,0.4,1.7,1.0,2.5,1.0,0.5,5.0
28.0,28.0,26.0,22.0,165.0,64.8,61.7,60.6,60.5,60.3,87.0,80.0,80.0,77.0,77.0,3.1,1.1,0.1,0.2,4.5,7.0,0.0,3.0,0.0,10.0
19.0,22.0,14.0,4.0,170.0,81.0,78.6,78.0,77.3,76.3,85.0,81.0,79.0,79.5,79.0,2.4,0.6,0.7,1.0,4.7,4.0,2.0,-0.5,0.5,6.0
28.0,28.0,28.0,24.0,163.0,70.0,68.9,68.3,68.3,68.1,94.5,93.0,90.0,89.5,88.0,1.1,0.6,0.0,0.2,1.9,1.5,3.0,0.5,1.5,6.5
23.0,25.0,24.0,22.0,156.0,54.0,52.0,52.2,52.0,51.2,71.0,70.0,69.0,68.0,68.0,2.0,-0.2,0.2,0.8,2.8,1.0,1.0,1.0,0.0,3.0
17.0,12.0,19.0,17.0,162.0,61.7,60.7,60.7,59.8,59.3,78.0,78.0,77.5,74.0,75.0,1.0,0.0,0.9,0.5,2.4,0.0,0.5,3.5,-1.0,3.0
21.0,24.0,23.0,19.0,158.0,50.8,50.3,49.9,50.4,50.0,67.0,64.0,63.0,64.0,64.0,0.5,0.4,-0.5,0.4,0.8,3.0,1.0,-1.0,0.0,3.0
22.0,24.0,28.0,19.0,176.0,95.9,93.7,93.9,92.4,91.0,91.0,94.0,88.0,86.0,85.0,2.2,-0.2,1.5,1.4,4.9,-3.0,6.0,2.0,1.0,6.0
22.0,23.0,27.0,25.0,155.0,53.5,53.0,52.5,52.5,51.6,80.0,78.0,77.0,77.0,77.0,0.5,0.5,0.0,0.9,1.9,2.0,1.0,0.0,0.0,3.0
22.0,27.0,25.0,13.0,163.0,60.5,58.8,58.7,58.4,58.5,74.0,71.0,69.0,68.7,72.0,1.7,0.1,0.3,-0.1,2.0,3.0,2.0,0.3,-3.3,2.0
18.0,17.0,14.0,0.0,153.0,47.5,46.2,46.5,45.9,45.5,62.0,61.0,61.0,60.0,59.5,1.3,-0.3,0.6,0.4,2.0,1.0,0.0,1.0,0.5,2.5
28.0,27.0,28.0,21.0,166.0,63.5,61.0,61.0,60.0,59.0,84.0,80.0,82.0,80.0,79.0,2.5,0.0,1.0,1.0,4.5,4.0,-2.0,2.0,1.0,5.0
25.0,26.0,23.0,20.0,165.0,60.4,59.9,59.1,58.6,58.0,75.0,77.0,74.0,73.0,73.0,0.5,0.8,0.5,0.6,2.4,-2.0,3.0,1.0,0.0,2.0
27.0,26.0,23.0,13.0,163.0,66.6,65.9,64.9,65.0,65.5,77.0,78.0,75.0,76.0,75.0,0.7,1.0,-0.1,-0.5,1.1,-1.0,3.0,-1.0,1.0,2.0
9.0,8.0,6.0,5.0,164.0,87.0,84.5,83.9,82.8,81.2,96.0,101.5,95.0,95.0,93.7,2.5,0.6,1.1,1.6,5.8,-5.5,6.5,0.0,1.3,2.3
27.0,26.0,26.0,23.0,163.0,61.5,59.8,59.6,59.2,59.0,80.0,77.0,76.0,76.0,75.0,1.7,0.2,0.4,0.2,2.5,3.0,1.0,0.0,1.0,5.0
23.0,25.0,24.0,5.0,170.0,60.0,59.0,58.0,56.5,54.5,76.0,72.5,71.5,67.5,69.0,1.0,1.0,1.5,2.0,5.5,3.5,1.0,4.0,-1.5,7.0
27.0,26.0,15.0,22.0,165.0,71.5,69.0,68.0,67.7,67.3,90.0,88.0,85.0,84.0,82.5,2.5,1.0,0.3,0.4,4.2,2.0,3.0,1.0,1.5,7.5
18.0,26.0,27.0,27.0,169.0,63.0,61.4,61.6,60.5,60.3,76.0,75.0,72.0,73.0,69.0,1.6,-0.2,1.1,0.2,2.7,1.0,3.0,-1.0,4.0,7.0
14.0,14.0,16.0,6.0,169.0,59.9,58.2,58.5,58.0,57.8,67.0,65.0,64.0,64.0,64.0,1.7,-0.3,0.5,0.2,2.1,2.0,1.0,0.0,0.0,3.0
24.0,21.0,11.0,10.0,155.0,51.4,49.7,49.8,49.5,48.0,65.0,65.0,65.0,64.0,61.0,1.7,-0.1,0.3,1.5,3.4,0.0,0.0,1.0,3.0,4.0
23.0,23.0,26.0,15.0,155.0,46.1,45.6,45.5,45.8,45.6,67.0,66.0,63.5,63.5,63.5,0.5,0.1,-0.3,0.2,0.5,1.0,2.5,0.0,0.0,3.5
21.0,25.0,18.0,17.0,160.0,56.5,56.0,55.5,55.1,54.5,80.0,76.0,75.0,74.0,72.6,0.5,0.5,0.4,0.6,2.0,4.0,1.0,1.0,1.4,7.4
26.0,28.0,26.0,21.0,172.0,84.1,83.0,80.9,80.3,80.3,87.0,87.0,84.0,83.0,82.0,1.1,2.1,0.6,0.0,3.8,0.0,3.0,1.0,1.0,5.0
21.0,25.0,14.0,8.0,168.0,62.0,60.0,59.4,59.0,58.2,79.0,76.0,74.0,74.0,72.0,2.0,0.6,0.4,0.8,3.8,3.0,2.0,0.0,2.0,7.0
14.0,23.0,21.0,12.0,170.0,58.0,57.5,56.5,56.4,56.0,74.5,74.5,74.0,73.0,72.0,0.5,1.0,0.1,0.4,2.0,0.0,0.5,1.0,1.0,2.5
22.0,0.0,24.0,24.0,172.0,82.1,80.3,78.5,76.9,76.2,102.0,98.0,96.0,94.5,94.0,1.8,1.8,1.6,0.7,5.9,4.0,2.0,1.5,0.5,8.0
28.0,28.0,28.0,22.0,179.0,78.0,77.1,76.0,75.0,73.9,86.0,87.0,86.0,85.0,85.0,0.9,1.1,1.0,1.1,4.1,-1.0,1.0,1.0,0.0,1.0
21.0,24.0,24.0,24.0,168.0,58.4,58.1,57.0,56.7,56.9,66.5,65.5,64.0,63.5,64.0,0.3,1.1,0.3,-0.2,1.5,1.0,1.5,0.5,-0.5,2.5
27.0,24.0,21.0,22.0,160.0,52.3,51.5,50.8,50.4,49.3,73.0,70.0,67.3,66.0,64.4,0.8,0.7,0.4,1.1,3.0,3.0,2.7,1.3,1.6,8.6
24.0,26.0,23.0,12.0,160.0,62.3,61.6,61.8,60.9,61.0,73.0,69.0,72.0,69.0,69.0,0.7,-0.2,0.9,-0.1,1.3,4.0,-3.0,3.0,0.0,4.0
18.0,18.0,11.0,1.0,153.0,52.4,51.4,50.6,50.9,50.6,69.0,68.0,66.5,67.0,64.0,1.0,0.8,-0.3,0.3,1.8,1.0,1.5,-0.5,3.0,5.0
27.0,27.0,28.0,20.0,158.0,70.8,68.4,67.5,65.8,65.5,81.0,77.0,73.5,73.0,73.0,2.4,0.9,1.7,0.3,5.3,4.0,3.5,0.5,0.0,8.0
16.0,17.0,21.0,12.0,162.0,48.0,47.1,47.1,46.6,46.5,64.0,62.0,61.5,62.0,61.5,0.9,0.0,0.5,0.1,1.5,2.0,0.5,-0.5,0.5,2.5
26.0,27.0,22.0,27.0,160.0,63.1,62.3,62.1,61.5,61.4,79.0,78.0,78.0,77.0,76.0,0.8,0.2,0.6,0.1,1.7,1.0,0.0,1.0,1.0,3.0
21.0,23.0,20.0,11.0,162.0,84.6,83.0,82.6,81.4,81.5,86.0,81.5,80.0,79.0,78.0,1.6,0.4,1.2,-0.1,3.1,4.5,1.5,1.0,1.0,8.0
24.0,24.0,25.0,2.0,175.0,78.6,76.3,74.5,73.3,71.6,86.0,85.0,84.0,83.0,79.0,2.3,1.8,1.2,1.7,7.0,1.0,1.0,1.0,4.0,7.0
27.0,25.0,22.0,21.0,168.0,57.0,55.0,54.0,53.0,52.0,66.0,65.5,63.8,63.8,63.8,2.0,1.0,1.0,1.0,5.0,0.5,1.7,0.0,0.0,2.2
25.0,16.0,5.0,5.0,153.0,54.0,52.8,52.5,52.0,52.0,72.0,70.0,72.0,70.0,71.0,1.2,0.3,0.5,0.0,2.0,2.0,-2.0,2.0,-1.0,1.0
24.0,18.0,22.0,17.0,168.0,68.8,66.6,65.9,65.2,64.0,77.0,74.0,74.0,73.0,72.0,2.2,0.7,0.7,1.2,4.8,3.0,0.0,1.0,1.0,5.0
23.0,26.0,28.0,28.0,163.0,52.8,51.9,51.6,51.1,50.9,67.0,65.0,63.0,62.0,62.0,0.9,0.3,0.5,0.2,1.9,2.0,2.0,1.0,0.0,5.0
27.0,26.0,25.0,24.0,160.0,50.8,50.3,50.1,49.8,48.9,66.0,65.0,64.0,64.0,63.0,0.5,0.2,0.3,0.9,1.9,1.0,1.0,0.0,1.0,3.0
23.0,21.0,25.0,13.0,160.0,58.0,57.2,57.0,56.0,55.2,70.0,69.0,69.0,68.0,68.0,0.8,0.2,1.0,0.8,2.8,1.0,0.0,1.0,0.0,2.0
22.0,27.0,28.0,26.0,153.0,51.8,50.6,49.6,49.2,48.4,71.0,64.0,67.0,64.0,63.0,1.2,1.0,0.4,0.8,3.4,7.0,-3.0,3.0,1.0,8.0
24.0,24.0,26.0,22.0,156.0,53.0,51.9,51.6,50.4,50.7,77.0,75.0,74.0,72.0,71.0,1.1,0.3,1.2,-0.3,2.3,2.0,1.0,2.0,1.0,6.0
22.0,22.0,27.0,17.0,165.0,60.8,59.2,58.8,58.0,57.4,82.0,78.0,77.0,76.0,76.0,1.6,0.4,0.8,0.6,3.4,4.0,1.0,1.0,0.0,6.0
23.0,26.0,24.0,17.0,163.0,61.0,59.8,59.0,58.7,58.6,81.0,81.0,79.0,78.0,78.0,1.2,0.8,0.3,0.1,2.4,0.0,2.0,1.0,0.0,3.0
19.0,22.0,14.0,12.0,171.0,87.8,85.7,84.9,82.9,81.7,106.0,101.5,100.0,99.0,99.0,2.1,0.8,2.0,1.2,6.1,4.5,1.5,1.0,0.0,7.0
23.0,27.0,27.0,27.0,158.0,60.0,58.8,58.9,58.3,57.3,72.0,70.0,69.0,68.0,68.0,1.2,-0.1,0.6,1.0,2.7,2.0,1.0,1.0,0.0,4.0
22.0,26.0,28.0,25.0,171.0,63.9,62.3,61.9,61.2,60.3,80.0,76.0,75.0,74.0,73.0,1.6,0.4,0.7,0.9,3.6,4.0,1.0,1.0,1.0,7.0
22.0,26.0,21.0,20.0,158.0,56.7,55.8,56.3,55.8,55.1,78.0,76.0,75.0,75.0,75.0,0.9,-0.5,0.5,0.7,1.6,2.0,1.0,0.0,0.0,3.0
28.0,28.0,27.0,27.0,172.0,78.8,76.8,74.9,74.7,74.5,96.0,95.0,90.0,89.0,88.0,2.0,1.9,0.2,0.2,4.3,1.0,5.0,1.0,1.0,8.0
23.0,28.0,27.0,28.0,162.0,64.3,62.4,61.9,61.4,60.4,82.0,80.0,77.0,78.0,76.0,1.9,0.5,0.5,1.0,3.9,2.0,3.0,-1.0,2.0,6.0
28.0,28.0,28.0,24.0,165.0,96.5,93.9,93.3,92.5,90.8,92.5,91.5,91.0,88.7,87.6,2.6,0.6,0.8,1.7,5.7,1.0,0.5,2.3,1.1,4.9
27.0,28.0,28.0,28.0,160.0,53.0,51.9,51.6,50.5,50.0,70.0,70.0,69.0,68.0,68.0,1.1,0.3,1.1,0.5,3.0,0.0,1.0,1.0,0.0,2.0
20.0,27.0,22.0,19.0,181.0,91.0,88.4,87.5,86.8,85.5,87.0,85.0,84.0,83.0,82.0,2.6,0.9,0.7,1.3,5.5,2.0,1.0,1.0,1.0,5.0
