checkinCount1,checkinCount2,checkinCount3,checkinCount4,height0,weight0,weight1,weight2,weight3,weight4,waistline0,waistline1,waistline2,waistline3,waistline4,deltaWeight1,deltaWeight2,deltaWeight3,deltaWeight4,deltaWeightAll,deltaWaist1,deltaWaist2,deltaWaist3,deltaWaist4,deltaWaistAll
17.0,15.0,12.0,18.0,165.0,65.1,63.7,63.5,63.5,62.7,89.0,88.0,88.0,88.0,87.0,1.4,0.2,0.0,0.8,2.4,1.0,0.0,0.0,1.0,2.0
23.0,23.0,18.0,10.0,158.0,46.6,45.2,44.6,44.1,43.8,62.0,60.5,60.0,60.0,59.5,1.4,0.6,0.5,0.3,2.8,1.5,0.5,0.0,0.5,2.5
9.0,1.0,0.0,0.0,158.0,47.9,47.4,46.9,46.9,46.4,67.0,66.3,64.5,64.0,64.2,0.5,0.5,0.0,0.5,1.5,0.7,1.8,0.5,-0.2,2.8
22.0,28.0,22.0,15.0,167.0,73.5,72.0,70.8,71.1,68.5,90.0,88.0,85.0,85.5,83.0,1.5,1.2,-0.3,2.6,5.0,2.0,3.0,-0.5,2.5,7.0
24.0,28.0,27.0,28.0,161.0,56.6,55.3,54.5,54.2,53.0,70.0,66.8,65.0,64.8,63.4,1.3,0.8,0.3,1.2,3.6,3.2,1.8,0.2,1.4,6.6
23.0,24.0,19.0,17.0,158.0,54.0,52.7,52.3,51.9,51.1,72.0,70.0,69.0,68.0,69.0,1.3,0.4,0.4,0.8,2.9,2.0,1.0,1.0,-1.0,3.0
22.0,26.0,28.0,21.0,161.0,54.7,54.1,53.4,53.6,53.5,73.0,73.0,71.0,71.0,71.0,0.6,0.7,-0.2,0.1,1.2,0.0,2.0,0.0,0.0,2.0
20.0,24.0,23.0,13.0,181.0,84.5,83.9,83.0,83.0,82.0,97.0,99.0,95.0,93.0,90.0,0.6,0.9,0.0,1.0,2.5,-2.0,4.0,2.0,3.0,7.0
24.0,26.0,22.0,24.0,165.0,65.9,64.0,63.0,62.1,61.9,83.0,81.0,80.0,79.0,77.0,1.9,1.0,0.9,0.2,4.0,2.0,1.0,1.0,2.0,6.0
21.0,27.0,26.0,26.0,164.0,72.8,71.5,70.2,70.2,69.5,93.0,90.0,88.0,87.0,86.0,1.3,1.3,0.0,0.7,3.3,3.0,2.0,1.0,1.0,7.0
21.0,27.0,26.0,22.0,158.0,63.6,62.1,62.1,60.2,60.2,82.0,81.0,81.0,79.5,79.5,1.5,0.0,1.9,0.0,3.4,1.0,0.0,1.5,0.0,2.5
28.0,27.0,22.0,17.0,166.0,57.4,56.0,55.8,55.4,54.4,63.8,60.5,60.3,60.0,59.1,1.4,0.2,0.4,1.0,3.0,3.3,0.2,0.3,0.9,4.7
